Ngày,Số 1,Số 2,Số 3,Số 4,Số 5,Số 6,Số 7
23/12/2021,8,22,29,43,45,54,23
25/12/2021,6,8,23,25,33,35,27
28/12/2021,3,8,9,40,44,48,2
30/12/2021,9,25,27,32,37,46,23
01/01/2022,4,25,28,32,33,55,3
04/01/2022,11,17,22,28,39,49,43
06/01/2022,4,8,14,21,30,49,38
08/01/2022,6,17,37,41,48,50,13
11/01/2022,12,25,26,28,33,46,22
13/01/2022,7,12,17,26,37,46,28
15/01/2022,20,26,41,46,47,48,18
18/01/2022,6,15,16,33,41,43,51
20/01/2022,8,21,32,34,41,46,48
22/01/2022,2,6,16,29,37,42,22
25/01/2022,2,16,17,20,31,51,50
27/01/2022,1,26,31,36,40,46,28
29/01/2022,6,10,17,23,25,38,21
03/02/2022,13,18,22,35,42,43,3
05/02/2022,1,17,23,29,44,45,37
08/02/2022,12,15,21,28,32,40,43
10/02/2022,3,15,26,35,43,52,7
12/02/2022,4,8,12,42,44,51,41
15/02/2022,5,7,14,24,29,36,46
17/02/2022,5,24,40,42,46,54,3
19/02/2022,1,11,14,33,46,48,40
22/02/2022,9,16,19,23,25,39,4
24/02/2022,2,15,25,30,31,32,13
26/02/2022,5,8,30,36,49,51,18
01/03/2022,15,19,25,42,51,53,2
03/03/2022,4,10,16,25,26,43,52
05/03/2022,5,12,15,25,43,48,1
08/03/2022,3,23,25,39,47,48,55
10/03/2022,1,3,8,16,19,36,41
12/03/2022,12,16,18,26,30,45,36
15/03/2022,6,14,24,28,33,52,50
17/03/2022,1,6,12,21,37,49,53
19/03/2022,8,20,24,37,51,55,27
22/03/2022,1,14,18,28,47,49,22
24/03/2022,5,9,16,35,45,46,44
26/03/2022,1,6,16,30,34,55,29
29/03/2022,5,11,32,35,40,52,31
31/03/2022,5,24,34,39,42,49,16
02/04/2022,32,38,42,44,47,55,46
05/04/2022,5,18,26,36,43,44,45
07/04/2022,6,14,15,25,29,32,41
09/04/2022,2,3,19,28,42,45,12
12/04/2022,11,18,20,22,25,40,5
14/04/2022,1,5,9,34,37,45,52
16/04/2022,4,8,39,41,53,55,52
19/04/2022,2,7,13,28,29,34,39
21/04/2022,21,24,27,34,38,42,46
23/04/2022,3,27,36,41,49,55,18
26/04/2022,14,22,24,25,43,49,17
28/04/2022,8,24,25,32,37,44,3
30/04/2022,11,23,51,52,53,54,27
03/05/2022,1,22,38,48,49,53,42
05/05/2022,27,29,33,39,47,53,55
07/05/2022,15,32,33,36,43,46,31
10/05/2022,12,18,41,43,47,51,10
12/05/2022,9,18,24,43,44,50,15
14/05/2022,2,28,30,43,44,55,22
17/05/2022,11,17,25,29,45,48,53
19/05/2022,3,6,31,40,47,54,8
21/05/2022,19,32,38,40,45,48,2
24/05/2022,18,31,32,46,50,52,28
26/05/2022,4,30,32,39,41,53,42
28/05/2022,33,36,38,42,43,46,3
31/05/2022,4,10,15,16,47,51,23
02/06/2022,7,11,28,30,33,50,49
04/06/2022,3,17,27,30,34,49,25
07/06/2022,16,17,21,28,39,50,19
09/06/2022,30,31,35,43,48,50,22
11/06/2022,10,18,23,25,45,47,38
14/06/2022,2,15,26,32,35,36,16
16/06/2022,9,13,21,40,51,54,4
18/06/2022,6,27,43,44,45,47,33
21/06/2022,9,13,19,21,34,51,35
23/06/2022,10,22,23,34,46,54,27
25/06/2022,14,17,31,35,37,40,28
28/06/2022,5,22,30,32,38,55,33
30/06/2022,5,11,15,19,29,31,35
02/07/2022,6,26,39,40,46,47,2
05/07/2022,5,7,12,26,29,44,38
07/07/2022,18,24,32,43,48,55,15
09/07/2022,5,21,24,47,52,55,20
12/07/2022,12,13,24,25,39,41,9
14/07/2022,11,25,29,37,39,52,45
16/07/2022,6,13,18,27,34,46,33
19/07/2022,8,9,33,34,35,52,36
21/07/2022,2,20,33,45,51,55,1
23/07/2022,27,28,29,39,40,54,13
26/07/2022,5,8,9,13,14,47,53
28/07/2022,5,6,17,28,29,39,34
30/07/2022,1,4,24,35,44,47,17
02/08/2022,2,5,28,40,47,48,31
04/08/2022,8,9,20,41,48,54,2
06/08/2022,6,21,27,41,51,53,43
09/08/2022,9,10,36,41,51,55,52
11/08/2022,1,12,21,34,48,55,50
13/08/2022,19,28,29,30,33,36,14
16/08/2022,17,18,28,47,50,53,11
18/08/2022,23,27,31,37,38,42,26
20/08/2022,6,16,29,32,42,51,43
23/08/2022,13,21,31,41,44,45,27
25/08/2022,19,30,35,40,49,53,42
27/08/2022,1,5,7,10,25,48,36
30/08/2022,2,13,19,29,30,32,16
01/09/2022,4,14,18,39,50,53,31
03/09/2022,11,22,31,33,40,46,41
06/09/2022,1,5,27,43,52,54,15
08/09/2022,9,13,23,32,36,52,43
10/09/2022,2,8,15,19,35,38,14
13/09/2022,9,10,21,40,41,48,54
15/09/2022,3,8,19,30,41,52,9
17/09/2022,5,8,19,34,40,49,39
20/09/2022,8,27,32,43,53,54,45
22/09/2022,12,14,19,29,44,47,26
24/09/2022,1,4,5,17,42,47,9
27/09/2022,11,13,23,27,37,43,34
29/09/2022,15,32,33,37,42,54,28
01/10/2022,14,15,16,22,23,29,20
04/10/2022,5,11,12,22,43,45,42
06/10/2022,6,8,19,20,47,53,7
08/10/2022,11,17,23,34,41,51,40
11/10/2022,11,26,34,40,46,52,1
13/10/2022,12,13,43,48,51,52,15
15/10/2022,8,15,16,39,45,51,23
18/10/2022,6,30,36,39,44,46,49
20/10/2022,15,21,27,34,37,53,29
22/10/2022,17,19,35,42,51,52,34
25/10/2022,8,18,20,22,42,46,1
27/10/2022,1,7,10,17,19,30,53
29/10/2022,1,3,10,13,15,20,32
01/11/2022,3,9,20,23,31,54,55
03/11/2022,8,13,24,28,29,33,49
05/11/2022,10,19,22,25,47,53,52
08/11/2022,12,27,33,44,48,50,18
10/11/2022,8,11,14,27,38,45,21
12/11/2022,8,18,23,30,35,42,43
15/11/2022,4,20,26,36,47,51,33
17/11/2022,1,19,25,27,38,42,54
19/11/2022,3,15,22,39,46,48,43
22/11/2022,3,9,21,22,26,35,15
24/11/2022,4,6,18,27,52,53,10
26/11/2022,8,23,24,48,49,52,1
29/11/2022,2,13,16,18,41,42,19
01/12/2022,11,14,29,31,52,54,7
03/12/2022,16,17,27,48,52,53,24
06/12/2022,1,11,25,44,45,46,35
08/12/2022,6,30,36,41,49,55,20
10/12/2022,2,12,13,18,33,44,31
13/12/2022,10,22,31,37,41,52,20
15/12/2022,2,25,38,50,51,55,21
17/12/2022,1,2,29,34,41,42,9
20/12/2022,2,6,9,20,31,35,42
22/12/2022,14,26,35,43,45,48,3
24/12/2022,5,19,22,23,30,44,52
27/12/2022,11,12,13,14,23,55,27
29/12/2022,6,8,33,37,38,51,48
31/12/2022,10,15,36,42,45,52,20
03/01/2023,9,13,24,43,47,48,18
05/01/2023,5,12,34,37,47,49,28
07/01/2023,3,4,9,15,33,54,16
10/01/2023,5,12,14,19,46,51,36
12/01/2023,5,14,37,45,47,55,25
14/01/2023,5,17,24,30,43,53,26
17/01/2023,1,9,20,36,44,50,40
19/01/2023,3,21,32,33,38,52,30
24/01/2023,3,5,10,12,29,30,9
26/01/2023,8,15,18,20,33,41,14
28/01/2023,9,22,23,29,38,47,33
31/01/2023,10,11,31,32,38,52,5
02/02/2023,3,10,23,29,34,53,11
04/02/2023,2,6,8,27,41,46,20
07/02/2023,6,27,29,32,39,52,9
09/02/2023,1,10,29,30,49,50,9
11/02/2023,4,13,45,48,52,54,5
14/02/2023,1,9,33,37,43,45,23
16/02/2023,1,5,7,8,20,22,33
18/02/2023,11,23,26,29,43,50,5
21/02/2023,4,12,15,21,30,44,5
23/02/2023,12,16,29,31,39,48,40
25/02/2023,1,2,14,21,38,51,50
28/02/2023,2,13,14,30,43,55,22
02/03/2023,1,3,23,24,43,48,31
04/03/2023,9,13,23,36,38,54,21
07/03/2023,8,22,25,27,39,50,28
09/03/2023,12,22,28,34,53,54,40
11/03/2023,13,23,25,30,35,44,8
14/03/2023,14,15,18,20,27,35,31
16/03/2023,6,23,34,48,50,55,2
18/03/2023,18,24,32,33,51,53,36
21/03/2023,7,17,31,43,45,49,52
23/03/2023,4,7,22,33,40,49,39
25/03/2023,17,18,28,40,49,54,16
28/03/2023,6,21,24,41,50,53,13
30/03/2023,6,11,14,21,30,32,22
01/04/2023,12,34,39,44,49,55,14
04/04/2023,13,28,41,42,47,51,9
06/04/2023,7,10,12,33,52,54,16
08/04/2023,17,33,36,46,50,52,40
11/04/2023,10,14,16,18,37,49,54
13/04/2023,22,26,28,37,39,48,15
15/04/2023,1,34,35,36,42,43,5
18/04/2023,17,18,30,40,51,55,50
20/04/2023,7,11,32,35,42,51,46
22/04/2023,9,18,23,24,48,52,10
25/04/2023,6,10,19,23,25,28,45
27/04/2023,8,28,38,39,41,45,54
29/04/2023,2,9,12,24,41,53,35
02/05/2023,4,11,18,25,33,45,21
04/05/2023,13,30,32,35,45,52,29
06/05/2023,1,11,22,28,34,42,10
09/05/2023,7,9,13,22,44,47,39
11/05/2023,1,3,19,33,34,51,17
13/05/2023,22,24,35,43,45,54,50
16/05/2023,19,24,30,34,40,44,51
18/05/2023,13,14,21,23,30,41,49
20/05/2023,1,14,21,36,48,53,44
23/05/2023,26,27,35,36,47,54,40
25/05/2023,15,16,19,31,33,46,7
27/05/2023,4,6,8,18,39,43,28
30/05/2023,1,14,24,28,40,46,34
01/06/2023,3,18,40,41,46,47,36
03/06/2023,23,28,29,36,38,41,7
06/06/2023,1,14,23,27,44,50,43
08/06/2023,3,36,38,43,51,53,2
10/06/2023,10,17,27,32,35,41,54
13/06/2023,4,14,18,27,47,50,33
15/06/2023,10,11,25,39,46,55,40
17/06/2023,7,13,23,34,38,40,55
20/06/2023,7,23,26,31,35,53,32
22/06/2023,2,11,14,35,43,51,55
24/06/2023,8,9,16,20,50,53,3
27/06/2023,2,12,15,16,27,28,47
29/06/2023,1,11,12,28,46,54,40
01/07/2023,13,33,36,38,45,50,25
04/07/2023,4,13,14,23,33,50,41
06/07/2023,7,12,29,39,46,55,1
08/07/2023,8,11,23,43,44,48,41
11/07/2023,24,40,44,46,47,49,5
13/07/2023,3,4,30,34,36,49,8
15/07/2023,2,16,31,37,38,48,36
18/07/2023,10,11,19,28,42,47,16
20/07/2023,5,34,36,38,47,50,26
22/07/2023,9,15,23,25,27,34,41
25/07/2023,12,23,42,44,51,52,3
27/07/2023,3,11,13,31,33,45,27
29/07/2023,16,23,25,26,29,40,32
01/08/2023,4,18,22,25,33,48,2
03/08/2023,3,12,22,25,37,39,7
05/08/2023,22,34,40,47,49,51,44
08/08/2023,5,6,19,20,40,45,47
10/08/2023,4,14,31,42,47,49,43
12/08/2023,13,24,39,43,45,52,8
15/08/2023,5,12,25,39,40,53,52
17/08/2023,1,5,25,32,51,52,54
19/08/2023,7,9,13,22,27,42,23
22/08/2023,2,3,6,34,35,36,31
24/08/2023,1,10,20,41,42,50,39
26/08/2023,5,8,24,38,50,51,47
29/08/2023,1,8,20,25,35,53,54
31/08/2023,23,33,37,43,45,46,29
02/09/2023,12,15,32,44,46,51,48
05/09/2023,2,6,19,29,34,48,39
07/09/2023,1,4,36,42,45,54,32
09/09/2023,13,20,32,37,43,49,40
12/09/2023,26,31,32,39,45,55,28
14/09/2023,6,10,20,22,50,52,34
16/09/2023,25,27,42,51,54,55,45
19/09/2023,17,29,35,40,51,52,23
21/09/2023,16,26,33,34,41,43,53
23/09/2023,20,27,36,43,45,47,35
26/09/2023,14,20,24,27,41,44,23
28/09/2023,4,23,36,45,47,50,22
30/09/2023,3,13,19,30,38,44,51
03/10/2023,3,15,27,29,37,48,55
05/10/2023,1,21,33,46,47,53,9
07/10/2023,4,13,36,40,43,52,34
10/10/2023,6,23,26,37,44,46,33
12/10/2023,5,8,9,20,36,50,35
17/10/2023,13,22,33,41,46,47,9
19/10/2023,1,23,29,37,51,55,54
21/10/2023,11,16,24,34,47,52,15
24/10/2023,12,20,26,33,40,44,24
26/10/2023,14,22,32,37,43,48,42
28/10/2023,11,14,25,44,46,47,10
31/10/2023,10,16,17,28,37,42,43
02/11/2023,9,15,17,21,26,36,13
04/11/2023,14,35,37,47,48,50,43
07/11/2023,12,18,20,28,35,52,25
09/11/2023,8,17,24,34,39,48,44
11/11/2023,2,3,4,19,41,42,23
14/11/2023,4,9,12,15,22,38,40
16/11/2023,3,5,10,18,44,49,28
18/11/2023,1,7,10,14,28,29,2
21/11/2023,3,7,16,37,39,51,9
23/11/2023,4,6,26,33,52,55,15
25/11/2023,7,9,10,17,25,53,49
28/11/2023,10,24,47,48,52,55,28
30/11/2023,9,13,21,28,50,54,51
02/12/2023,1,10,20,37,48,51,54
05/12/2023,2,4,19,32,35,39,49
07/12/2023,9,13,28,33,50,53,47
09/12/2023,6,9,26,27,34,47,41
12/12/2023,6,7,16,21,34,50,31
14/12/2023,1,12,23,43,48,52,30
16/12/2023,13,15,21,26,34,35,45
19/12/2023,11,14,15,24,34,53,18
21/12/2023,9,31,39,41,47,48,3
23/12/2023,22,32,39,46,48,49,43
26/12/2023,10,14,17,27,29,40,25
28/12/2023,20,28,30,40,45,52,32
30/12/2023,9,17,29,32,38,52,2
02/01/2024,2,5,18,31,37,45,20
04/01/2024,7,34,37,43,52,54,28
06/01/2024,15,17,21,24,34,46,11
09/01/2024,16,32,45,50,52,53,54
11/01/2024,2,23,32,44,51,52,28
13/01/2024,1,5,7,23,35,42,21
16/01/2024,9,14,18,20,27,43,42
18/01/2024,12,20,33,38,40,52,35
20/01/2024,6,25,29,34,49,54,38
23/01/2024,13,27,32,48,49,51,23
25/01/2024,13,17,35,38,42,48,7
27/01/2024,6,12,38,41,46,55,13
30/01/2024,3,10,13,40,49,52,9
01/02/2024,2,7,10,22,32,40,39
03/02/2024,4,6,7,13,18,26,49
06/02/2024,8,19,27,34,46,51,24
08/02/2024,22,31,35,36,38,42,11
13/02/2024,8,17,22,31,34,49,18
15/02/2024,3,7,8,18,21,26,19
17/02/2024,8,12,17,27,38,55,47
20/02/2024,34,46,50,51,52,55,5
22/02/2024,8,19,24,31,35,55,1
24/02/2024,1,3,22,27,38,40,26
27/02/2024,1,4,6,8,24,35,53
29/02/2024,4,11,20,38,52,53,33
02/03/2024,1,19,21,31,50,55,37
05/03/2024,12,19,21,23,28,54,31
07/03/2024,13,20,33,47,53,54,19
09/03/2024,11,13,22,36,46,49,37
12/03/2024,11,14,18,20,22,43,16
14/03/2024,21,25,26,29,41,51,39
16/03/2024,8,36,42,43,44,55,54
19/03/2024,6,25,39,45,46,55,26
21/03/2024,12,13,41,48,49,53,43
23/03/2024,3,10,13,30,40,52,4
26/03/2024,1,8,13,16,38,44,47
28/03/2024,1,7,18,26,38,49,21
30/03/2024,14,17,27,38,54,55,23
02/04/2024,1,12,18,20,51,52,37
04/04/2024,3,8,12,25,47,48,15
06/04/2024,9,13,20,30,39,54,23
09/04/2024,4,12,27,44,46,51,22
11/04/2024,3,6,15,25,33,43,55
13/04/2024,29,36,37,38,40,42,46
16/04/2024,3,5,32,40,46,50,37
18/04/2024,1,21,23,33,43,54,28
20/04/2024,2,6,35,43,45,47,14
23/04/2024,1,34,39,40,49,53,9
25/04/2024,13,19,27,38,41,54,46
27/04/2024,7,12,38,43,48,55,8
30/04/2024,13,16,26,46,49,54,8
02/05/2024,30,32,33,36,42,48,18
04/05/2024,5,27,35,45,49,55,18
07/05/2024,21,26,35,41,44,52,13
09/05/2024,3,16,21,36,37,40,31
11/05/2024,19,23,25,43,46,54,42
14/05/2024,5,17,36,40,46,50,1
16/05/2024,20,25,27,39,45,55,44
18/05/2024,12,18,20,25,27,52,44
21/05/2024,1,2,14,32,33,41,4
23/05/2024,8,12,42,47,51,52,36
25/05/2024,15,22,38,39,43,53,20
28/05/2024,1,25,29,37,40,54,50
30/05/2024,4,7,8,12,23,31,45
01/06/2024,6,24,30,31,47,49,1
04/06/2024,1,2,7,10,13,19,24
06/06/2024,18,26,38,39,47,51,55
08/06/2024,13,16,32,33,35,43,42
11/06/2024,13,16,21,30,32,39,53
13/06/2024,8,39,45,47,49,51,16
15/06/2024,5,10,14,20,26,51,36
18/06/2024,20,23,27,36,38,44,52
20/06/2024,1,10,29,34,43,55,49
22/06/2024,17,25,31,35,41,42,36
25/06/2024,1,5,9,13,18,27,8
27/06/2024,7,21,22,41,43,46,32
29/06/2024,11,15,32,34,46,48,47
02/07/2024,7,8,50,52,53,54,2
04/07/2024,10,19,20,29,34,41,8
06/07/2024,8,10,12,22,25,55,52
09/07/2024,6,8,9,28,33,53,10
11/07/2024,1,2,11,21,22,23,26
13/07/2024,2,12,13,33,44,52,34
16/07/2024,20,31,34,36,47,52,2
18/07/2024,10,13,28,35,40,42,2
20/07/2024,12,18,32,40,51,53,28
23/07/2024,34,39,40,42,54,55,30
25/07/2024,12,17,21,25,33,40,39
27/07/2024,18,23,25,37,39,40,35
30/07/2024,2,6,22,23,38,51,32
01/08/2024,9,17,21,48,53,55,29
03/08/2024,7,20,34,36,41,46,16
06/08/2024,22,34,44,46,54,55,14
08/08/2024,1,7,42,43,48,51,29
10/08/2024,10,23,32,37,48,55,14
13/08/2024,9,26,40,44,45,50,27
15/08/2024,8,16,20,30,34,43,46
17/08/2024,4,28,35,38,39,45,5
20/08/2024,5,24,26,27,29,54,6
22/08/2024,11,18,20,32,41,46,33
24/08/2024,2,17,20,21,22,23,38
27/08/2024,5,6,29,31,37,48,2
29/08/2024,8,11,21,29,38,55,12
31/08/2024,24,33,38,40,42,51,28
03/09/2024,8,10,11,14,38,48,41
05/09/2024,15,20,23,29,34,46,1
07/09/2024,5,11,20,39,46,53,37
10/09/2024,15,23,37,38,45,49,30
12/09/2024,3,8,31,36,39,47,38
14/09/2024,2,12,25,32,51,54,34
17/09/2024,14,32,34,41,47,54,48
19/09/2024,4,9,22,24,45,54,48
21/09/2024,3,8,9,22,26,55,11
24/09/2024,1,6,11,17,24,31,43
26/09/2024,3,18,29,39,41,49,46
28/09/2024,2,11,13,32,41,48,15
01/10/2024,3,18,22,41,43,44,12
03/10/2024,18,21,34,40,42,53,25
05/10/2024,2,10,17,27,50,52,18
08/10/2024,3,7,14,17,48,50,40
10/10/2024,4,5,6,29,32,44,53
12/10/2024,29,34,35,38,50,51,37
15/10/2024,4,25,41,42,46,52,33
17/10/2024,11,14,15,26,38,41,25
19/10/2024,9,22,31,39,43,51,19
22/10/2024,15,21,23,26,31,43,35
24/10/2024,5,17,31,39,46,53,3
26/10/2024,5,19,27,29,42,47,40
29/10/2024,14,17,19,28,47,51,55
31/10/2024,5,16,20,29,30,31,39
02/11/2024,2,9,19,20,34,54,26
05/11/2024,9,31,36,46,49,54,7
07/11/2024,6,9,33,39,50,51,43
09/11/2024,11,14,24,26,34,51,40
12/11/2024,1,21,29,35,41,45,20
14/11/2024,12,25,37,40,49,52,31
16/11/2024,16,22,33,37,39,51,54
19/11/2024,6,10,17,34,41,48,31
21/11/2024,15,22,31,40,42,51,26
23/11/2024,4,12,25,39,48,51,45
26/11/2024,8,11,16,32,40,43,12
28/11/2024,1,16,24,28,38,53,9
30/11/2024,1,20,24,26,38,41,36
03/12/2024,10,19,33,39,47,54,16
05/12/2024,16,21,29,41,42,47,9
07/12/2024,16,17,22,24,29,37,54
10/12/2024,11,15,26,45,52,55,36
12/12/2024,1,9,12,18,37,44,11
14/12/2024,3,10,19,20,21,24,7
17/12/2024,2,14,27,30,53,54,16
19/12/2024,13,16,32,39,49,51,11
21/12/2024,4,16,29,30,35,51,48
24/12/2024,17,20,27,32,44,51,33
26/12/2024,6,18,33,38,41,48,16
28/12/2024,6,19,36,42,53,55,39
31/12/2024,8,13,29,36,42,43,28
02/01/2025,4,10,18,22,41,45,50
04/01/2025,4,10,30,36,40,53,51
07/01/2025,4,5,9,16,22,39,30
09/01/2025,18,21,31,39,50,53,13
11/01/2025,10,25,26,29,37,46,14
14/01/2025,3,11,12,24,33,40,46
16/01/2025,8,16,34,37,47,50,23
18/01/2025,1,3,26,31,37,41,51
21/01/2025,11,18,22,28,51,52,53
23/01/2025,11,18,22,49,50,51,37
25/01/2025,14,21,40,42,48,51,19
30/01/2025,5,8,24,28,34,52,39
01/02/2025,1,20,34,38,45,47,49
04/02/2025,7,17,29,51,52,55,41
06/02/2025,1,11,31,43,48,54,19
08/02/2025,11,22,28,44,48,49,23
11/02/2025,1,9,18,21,35,40,44
13/02/2025,2,8,23,26,42,47,7
15/02/2025,22,37,38,47,51,55,31
18/02/2025,12,13,30,38,40,47,42
20/02/2025,13,17,20,27,36,54,47
22/02/2025,1,2,7,22,23,46,50
25/02/2025,1,7,11,24,29,30,48
27/02/2025,5,9,21,31,43,53,11
01/03/2025,15,17,34,37,39,45,41
04/03/2025,5,14,27,43,45,53,47
06/03/2025,5,10,21,26,43,51,15
08/03/2025,10,38,41,43,45,48,8
11/03/2025,1,16,18,30,31,44,34
13/03/2025,7,13,21,43,52,53,17
15/03/2025,1,34,39,40,42,50,25
18/03/2025,2,8,29,30,50,55,27
20/03/2025,11,13,24,28,36,41,37
22/03/2025,2,23,42,50,52,54,44
25/03/2025,14,23,29,30,35,40,17
27/03/2025,13,25,32,36,41,53,29
29/03/2025,14,19,21,24,26,48,39
01/04/2025,14,15,29,33,39,47,4
03/04/2025,24,26,34,42,50,51,30
05/04/2025,13,23,29,32,41,42,9
08/04/2025,3,7,34,41,43,53,31
10/04/2025,10,13,36,37,40,43,41
12/04/2025,3,14,19,37,42,55,23
15/04/2025,8,23,24,27,42,49,20
17/04/2025,1,17,20,38,41,52,14
19/04/2025,5,11,15,32,42,49,43
22/04/2025,10,25,37,40,41,48,32
24/04/2025,1,2,15,39,40,47,24
26/04/2025,3,15,16,31,48,52,21
29/04/2025,14,15,18,23,28,33,29
01/05/2025,3,17,19,41,45,50,43
03/05/2025,15,19,21,26,42,47,38
06/05/2025,12,16,25,28,30,39,5
08/05/2025,8,14,29,37,39,50,21
10/05/2025,7,16,19,28,34,51,15
13/05/2025,3,7,24,39,54,55,42
15/05/2025,6,9,13,44,49,54,47
17/05/2025,2,7,26,29,41,50,43
20/05/2025,19,27,44,45,47,52,15
22/05/2025,3,9,14,41,47,55,22
24/05/2025,19,20,27,30,45,55,15
27/05/2025,4,12,18,19,44,48,42
29/05/2025,9,37,42,45,46,50,14
31/05/2025,6,24,41,45,49,55,8
03/06/2025,2,11,14,16,27,38,51
05/06/2025,14,21,33,37,46,49,34
07/06/2025,12,17,21,46,48,52,45
10/06/2025,3,6,21,29,40,41,37
12/06/2025,6,8,16,18,34,44,17
14/06/2025,11,12,22,26,41,47,24
17/06/2025,7,13,18,22,32,44,43
19/06/2025,3,5,9,10,16,47,34
21/06/2025,6,10,15,43,44,53,32
24/06/2025,3,9,18,20,30,53,48
26/06/2025,1,14,16,27,40,51,2
28/06/2025,8,11,13,20,45,50,25
01/07/2025,3,11,12,14,27,33,15
03/07/2025,18,19,29,31,45,54,27
05/07/2025,3,15,22,45,51,55,54
08/07/2025,23,24,32,42,48,50,31
10/07/2025,12,33,34,42,44,53,3
12/07/2025,2,34,39,41,45,52,51
15/07/2025,18,26,31,32,36,48,30
17/07/2025,13,18,33,40,48,53,54
19/07/2025,8,9,20,36,39,44,28
22/07/2025,9,10,15,28,33,44,22
24/07/2025,5,10,24,29,30,34,45
26/07/2025,5,26,28,29,33,54,34
29/07/2025,4,8,23,43,45,51,48
31/07/2025,5,17,31,42,46,49,37
02/08/2025,12,24,29,33,34,35,47
05/08/2025,8,41,45,51,52,53,31
07/08/2025,6,24,31,32,39,48,52
09/08/2025,5,9,16,36,43,51,19
12/08/2025,1,6,24,37,40,55,10
14/08/2025,6,10,17,18,32,35,53
16/08/2025,14,23,32,36,47,48,5
19/08/2025,1,14,31,34,36,47,45
21/08/2025,5,9,17,35,40,41,44
23/08/2025,1,9,26,34,44,50,52
26/08/2025,22,30,38,44,48,55,5
28/08/2025,6,13,28,30,35,52,50
30/08/2025,2,17,19,24,30,44,34
02/09/2025,9,16,22,25,30,51,43
04/09/2025,9,19,23,42,49,53,40
06/09/2025,9,11,19,22,34,43,31
09/09/2025,16,20,21,31,40,52,2
11/09/2025,6,16,46,49,51,55,42
13/09/2025,2,7,15,18,24,27,45
16/09/2025,17,19,28,39,43,53,33
18/09/2025,2,3,8,27,38,55,20
20/09/2025,8,13,14,19,36,43,30
23/09/2025,8,18,19,34,41,46,38
25/09/2025,5,17,30,31,38,53,8
27/09/2025,8,13,19,24,39,46,1
30/09/2025,17,23,34,39,46,52,8
02/10/2025,1,2,20,24,27,42,43
04/10/2025,22,33,35,36,38,40,7
07/10/2025,19,22,35,37,43,45,29
09/10/2025,7,11,21,22,39,42,40
11/10/2025,3,7,26,43,44,46,25
14/10/2025,8,9,16,26,37,55,12
16/10/2025,14,15,24,26,27,45,36
18/10/2025,5,16,19,21,38,43,50
21/10/2025,3,11,12,14,22,40,41
23/10/2025,8,10,21,48,49,50,40
25/10/2025,3,5,11,13,24,27,45
28/10/2025,6,8,10,22,25,54,9
30/10/2025,20,23,35,41,47,55,37
01/11/2025,7,11,28,29,31,33,8
04/11/2025,15,27,29,31,36,43,38
06/11/2025,16,20,29,33,36,49,6
08/11/2025,14,16,19,22,27,44,18
11/11/2025,11,20,28,41,47,54,31
13/11/2025,1,15,30,38,40,43,13
15/11/2025,2,30,33,35,42,54,45
18/11/2025,7,12,18,22,30,49,5
20/11/2025,3,12,19,20,31,42,13
22/11/2025,8,10,19,29,34,46,14
25/11/2025,23,31,32,42,46,48,4
27/11/2025,4,5,10,11,28,35,38
29/11/2025,4,20,24,27,40,48,9
02/12/2025,16,20,24,36,51,54,10
04/12/2025,10,29,32,33,44,53,14
06/12/2025,12,26,34,37,50,52,15
09/12/2025,14,21,26,27,31,43,42
11/12/2025,9,13,21,45,48,55,38
13/12/2025,5,8,12,18,20,38,52
16/12/2025,7,36,37,38,52,55,46
18/12/2025,12,14,29,30,39,55,50
20/12/2025,22,32,33,35,40,41,23
23/12/2025,2,10,16,25,32,38,3
25/12/2025,4,6,32,37,40,48,38
27/12/2025,16,21,30,37,39,40,13
30/12/2025,11,30,35,41,48,55,38
01/01/2026,5,16,29,33,39,42,54
03/01/2026,10,16,17,23,33,36,42
06/01/2026,22,28,29,30,34,47,20
08/01/2026,20,22,36,43,45,50,47
10/01/2026,9,16,30,33,34,38,49
13/01/2026,3,12,25,51,52,55,43
15/01/2026,13,21,31,34,48,55,27
17/01/2026,14,21,23,25,46,48,54
20/01/2026,4,20,26,28,37,41,32
22/01/2026,2,20,21,29,36,50,5
24/01/2026,14,24,25,30,35,53,18
27/01/2026,13,22,32,42,53,54,29
29/01/2026,11,15,22,32,34,54,28
31/01/2026,10,11,14,17,49,53,4
03/02/2026,12,15,18,22,48,53,45
05/02/2026,7,13,16,25,26,55,9
07/02/2026,3,5,13,15,29,46,1
10/02/2026,13,21,22,26,32,55,20
12/02/2026,8,17,19,31,32,46,26
14/02/2026,2,13,26,32,36,42,48
19/02/2026,1,27,30,43,45,46,48
21/02/2026,5,7,26,30,41,45,12
24/02/2026,5,8,18,30,39,54,51
26/02/2026,1,7,10,21,44,51,46
28/02/2026,22,25,31,44,51,54,36
03/03/2026,7,13,27,29,43,50,25
05/03/2026,14,16,35,38,43,51,37
07/03/2026,4,32,41,45,50,52,29
10/03/2026,3,26,31,39,47,54,20
12/03/2026,12,28,36,40,53,55,54
14/03/2026,7,16,27,29,47,52,26
17/03/2026,12,26,28,43,50,54,52
19/03/2026,7,9,17,31,34,36,55
21/03/2026,1,6,40,43,47,53,3
24/03/2026,12,19,25,26,32,45,3
26/03/2026,3,9,10,34,38,44,51
28/03/2026,7,13,21,30,33,42,39
31/03/2026,15,16,22,38,43,48,11
02/04/2026,9,21,32,34,52,53,22
